timestamp,pixel_color,coordinate
2022-04-04 01:17:22.64 UTC,#6A5CFF,"440,1148"
2022-04-04 01:17:33.934 UTC,#00CCC0,"1490,1474"
2022-04-04 01:17:36.352 UTC,#94B3FF,"1160,1038"
2022-04-04 01:17:41.456 UTC,#6A5CFF,"1210,1288"
2022-04-04 01:17:43.208 UTC,#94B3FF,"456,1236"
2022-04-04 01:17:47.087 UTC,#009EAA,"1499,1714"
2022-04-04 01:17:47.668 UTC,#6A5CFF,"1145,1762"
2022-04-04 01:18:11.712 UTC,#6A5CFF,"468,1496"
2022-04-04 01:18:15.651 UTC,#6A5CFF,"1217,1288"
2022-04-04 01:18:47.904 UTC,#E4ABFF,"1804,615"
2022-04-04 01:18:48.631 UTC,#6A5CFF,"1344,1785"
2022-04-04 01:18:55.08 UTC,#009EAA,"783,1983"
2022-04-04 01:18:59.405 UTC,#E4ABFF,"463,1896"
2022-04-04 01:19:00.033 UTC,#6A5CFF,"1706,1942"
2022-04-04 01:19:02.585 UTC,#6A5CFF,"1955,528"
2022-04-04 01:19:12.338 UTC,#00CCC0,"978,219"
2022-04-04 01:19:25.187 UTC,#00CCC0,"1400,1750"
2022-04-04 01:19:27.796 UTC,#00CCC0,"343,1228"
2022-04-04 01:19:31.371 UTC,#009EAA,"1807,37"
2022-04-04 01:19:44.16 UTC,#E4ABFF,"1035,1439"
2022-04-04 01:19:55.781 UTC,#6A5CFF,"653,1229"
2022-04-04 01:19:58.066 UTC,#94B3FF,"1724,1229"
2022-04-04 01:20:09.032 UTC,#6A5CFF,"800,1206"
2022-04-04 01:20:29.26 UTC,#6A5CFF,"1855,583"
2022-04-04 01:20:48.86 UTC,#E4ABFF,"563,1210"
2022-04-04 01:21:00.001 UTC,#009EAA,"287,1513"
2022-04-04 01:21:03.946 UTC,#6A5CFF,"46,1906"
2022-04-04 01:21:16.921 UTC,#00CCC0,"1701,1552"
2022-04-04 01:21:22.963 UTC,#94B3FF,"564,1301"
2022-04-04 01:21:39.03 UTC,#6A5CFF,"655,288"
2022-04-04 01:21:44.547 UTC,#E4ABFF,"1223,1899"
2022-04-04 01:21:46.346 UTC,#00CCC0,"116,982"
2022-04-04 01:22:14.46 UTC,#94B3FF,"386,1344"
2022-04-04 01:22:20.013 UTC,#E4ABFF,"533,1296"
2022-04-04 01:22:30.281 UTC,#00CCC0,"1878,1175"
2022-04-04 01:22:30.86 UTC,#E4ABFF,"1954,220"
2022-04-04 01:22:33.589 UTC,#00CCC0,"1732,1974"
2022-04-04 01:22:47.118 UTC,#6A5CFF,"294,1451"
2022-04-04 01:22:54.579 UTC,#009EAA,"1509,67"
2022-04-04 01:23:09.45 UTC,#E4ABFF,"552,1228"
2022-04-04 01:24:02.082 UTC,#E4ABFF,"247,1196"
2022-04-04 01:24:14.831 UTC,#6A5CFF,"1724,1099"
2022-04-04 01:24:18.529 UTC,#E4ABFF,"1653,813"
2022-04-04 01:24:24.952 UTC,#E4ABFF,"635,521"
2022-04-04 01:24:46.052 UTC,#009EAA,"1428,1362"
2022-04-04 01:25:06.782 UTC,#009EAA,"1828,1544"
2022-04-04 01:25:09.341 UTC,#94B3FF,"967,1943"
2022-04-04 01:25:16.52 UTC,#6A5CFF,"1062,1506"
2022-04-04 01:25:40.885 UTC,#94B3FF,"1318,1856"
2022-04-04 01:25:44.48 UTC,#E4ABFF,"527,1286"
2022-04-04 01:26:04.353 UTC,#E4ABFF,"516,1250"
2022-04-04 01:26:17.73 UTC,#6A5CFF,"599,630"
2022-04-04 01:26:48.926 UTC,#009EAA,"1226,1245"
2022-04-04 01:26:54.862 UTC,#94B3FF,"1953,1617"
2022-04-04 01:27:10.828 UTC,#94B3FF,"395,1794"
2022-04-04 01:27:20.808 UTC,#E4ABFF,"539,1274"
2022-04-04 01:28:00.718 UTC,#00CCC0,"697,508"
2022-04-04 01:28:17.888 UTC,#6A5CFF,"1964,1048"
2022-04-04 01:28:19.21 UTC,#94B3FF,"351,1731"
2022-04-04 01:28:23.341 UTC,#E4ABFF,"631,1068"
2022-04-04 01:28:35.686 UTC,#E4ABFF,"1803,345"
2022-04-04 01:28:49.118 UTC,#94B3FF,"356,1795"
2022-04-04 01:28:53.603 UTC,#009EAA,"1216,670"
2022-04-04 01:29:54.028 UTC,#6A5CFF,"70,1264"
2022-04-04 01:30:00.56 UTC,#94B3FF,"1429,1583"
2022-04-04 01:30:06.966 UTC,#94B3FF,"351,1729"
2022-04-04 01:30:08.373 UTC,#94B3FF,"350,1738"
2022-04-04 01:30:10.266 UTC,#94B3FF,"1542,1582"
2022-04-04 01:30:32.59 UTC,#6A5CFF,"691,187"
2022-04-04 01:30:33.376 UTC,#94B3FF,"160,1804"
2022-04-04 01:30:45.262 UTC,#00CCC0,"1252,950"
2022-04-04 01:31:03.107 UTC,#94B3FF,"1441,1515"
2022-04-04 01:31:10.203 UTC,#E4ABFF,"580,1286"
2022-04-04 01:31:23.918 UTC,#6A5CFF,"1280,1632"
2022-04-04 01:31:37.12 UTC,#94B3FF,"344,1751"
2022-04-04 01:31:45.451 UTC,#6A5CFF,"1386,521"
2022-04-04 01:31:46.396 UTC,#00CCC0,"621,1687"
2022-04-04 01:32:04.913 UTC,#E4ABFF,"540,1281"
2022-04-04 01:32:15.83 UTC,#E4ABFF,"880,1390"
2022-04-04 01:32:47.526 UTC,#94B3FF,"1760,1767"
2022-04-04 01:32:59.581 UTC,#00CCC0,"1026,1684"
2022-04-04 01:33:02.615 UTC,#6A5CFF,"1769,79"
2022-04-04 01:33:04.769 UTC,#00CCC0,"1473,1530"
2022-04-04 01:33:07.763 UTC,#00CCC0,"375,1245"
2022-04-04 01:33:08.603 UTC,#94B3FF,"354,1734"
2022-04-04 01:33:08.651 UTC,#E4ABFF,"128,1726"
2022-04-04 01:33:41.204 UTC,#94B3FF,"578,1257"
2022-04-04 01:34:01.493 UTC,#009EAA,"1505,1713"
2022-04-04 01:34:13.291 UTC,#6A5CFF,"664,1264"
2022-04-04 01:34:23.88 UTC,#009EAA,"1205,1266"
2022-04-04 01:34:25.52 UTC,#00CCC0,"406,1228"
2022-04-04 01:34:42.956 UTC,#94B3FF,"1991,758"
2022-04-04 01:34:43.949 UTC,#00CCC0,"1881,1195"
2022-04-04 01:34:53.814 UTC,#E4ABFF,"582,1292"
2022-04-04 01:34:56.022 UTC,#E4ABFF,"1233,1894"
2022-04-04 01:34:56.532 UTC,#94B3FF,"1918,716"
2022-04-04 01:35:14.257 UTC,#94B3FF,"1485,1506"
2022-04-04 01:35:22.164 UTC,#6A5CFF,"1207,1482"
2022-04-04 01:35:56.3 UTC,#009EAA,"1831,885"
2022-04-04 01:36:45.21 UTC,#94B3FF,"1924,721"
2022-04-04 01:36:46.049 UTC,#009EAA,"1825,1640"
