timestamp,pixel_color,coordinate
4 012654.862,#94B3FF,"1953,1617"
4 012710.828,#94B3FF,"395,1794"
4 012720.808,#E4ABFF,"539,1274"
4 012800.718,#00CCC0,"697,508"
4 012817.888,#6A5CFF,"1964,1048"
4 012819.21,#94B3FF,"351,1731"
4 012823.341,#E4ABFF,"631,1068"
4 012835.686,#E4ABFF,"1803,345"
4 012849.118,#94B3FF,"356,1795"
4 012853.603,#009EAA,"1216,670"
4 012954.028,#6A5CFF,"70,1264"
4 013000.56,#94B3FF,"1429,1583"
4 013006.966,#94B3FF,"351,1729"
4 013008.373,#94B3FF,"350,1738"
4 013010.266,#94B3FF,"1542,1582"
4 013032.59,#6A5CFF,"691,187"
4 013033.376,#94B3FF,"160,1804"
4 013045.262,#00CCC0,"1252,950"
4 013103.107,#94B3FF,"1441,1515"
4 013110.203,#E4ABFF,"580,1286"
4 013123.918,#6A5CFF,"1280,1632"
4 013137.12,#94B3FF,"344,1751"
4 013145.451,#6A5CFF,"1386,521"
4 013146.396,#00CCC0,"621,1687"
4 013204.913,#E4ABFF,"540,1281"
4 013215.83,#E4ABFF,"880,1390"
4 013247.526,#94B3FF,"1760,1767"
4 013259.581,#00CCC0,"1026,1684"
4 013302.615,#6A5CFF,"1769,79"
4 013304.769,#00CCC0,"1473,1530"
4 013307.763,#00CCC0,"375,1245"
4 013308.603,#94B3FF,"354,1734"
4 013308.651,#E4ABFF,"128,1726"
4 013341.204,#94B3FF,"578,1257"
4 013401.493,#009EAA,"1505,1713"
4 013413.291,#6A5CFF,"664,1264"
4 013423.88,#009EAA,"1205,1266"
4 013425.52,#00CCC0,"406,1228"
4 013442.956,#94B3FF,"1991,758"
4 013443.949,#00CCC0,"1881,1195"
4 013453.814,#E4ABFF,"582,1292"
4 013456.022,#E4ABFF,"1233,1894"
4 013456.532,#94B3FF,"1918,716"
4 013514.257,#94B3FF,"1485,1506"
4 013522.164,#6A5CFF,"1207,1482"
4 013556.3,#009EAA,"1831,885"
4 013645.21,#94B3FF,"1924,721"
4 013646.049,#009EAA,"1825,1640"
4 013659.811,#94B3FF,"145,1061"
4 013702.724,#009EAA,"205,1010"
4 013716.085,#94B3FF,"388,1759"
4 013749.364,#94B3FF,"1399,1750"
4 013751.475,#00CCC0,"1836,1178"
4 013751.534,#00CCC0,"1200,1984"
4 013751.818,#94B3FF,"340,1798"
4 013804.524,#94B3FF,"812,1648"
4 013827.951,#6A5CFF,"127,14"
4 013840.366,#6A5CFF,"670,1459"
4 013853.134,#6A5CFF,"557,1236"
4 013900.209,#6A5CFF,"1177,1179"
4 013917.933,#94B3FF,"340,1825"
4 013935.722,#94B3FF,"369,1799"
4 014015.576,#009EAA,"1677,588"
4 014029.427,#94B3FF,"1961,1812"
4 014055.127,#00CCC0,"1064,401"
4 014117.908,#009EAA,"658,211"
4 014121.818,#00CCC0,"321,1313"
4 014130.567,#009EAA,"1665,575"
4 014130.904,#00CCC0,"1485,1549"
4 014136.17,#94B3FF,"1597,1788"
4 014206.861,#E4ABFF,"1510,891"
4 014218.183,#00CCC0,"1407,1284"
4 014234.972,#6A5CFF,"1422,1580"
4 014241.698,#00CCC0,"1883,1172"
4 014252.876,#94B3FF,"410,1633"
4 014258.837,#94B3FF,"340,1817"
4 014330.548,#94B3FF,"1355,1583"
4 014340.125,#94B3FF,"1489,1517"
4 014350.039,#94B3FF,"1396,1605"
4 014402.372,#E4ABFF,"579,1274"
4 014413.543,#94B3FF,"1429,1563"
4 014416.347,#94B3FF,"1441,1582"
4 014427.667,#94B3FF,"1409,1561"
4 014430.652,#94B3FF,"1264,1160"
4 014437.192,#94B3FF,"1489,1507"
4 014444.116,#94B3FF,"1492,1505"
4 014445.146,#94B3FF,"1486,1508"
4 014445.526,#94B3FF,"1493,1510"
4 014448.318,#94B3FF,"1489,1517"
4 014504.649,#94B3FF,"1481,1499"
4 014514.01,#94B3FF,"1469,1460"
4 014558.565,#00CCC0,"1296,684"
4 014606.888,#E4ABFF,"1930,1951"
4 014658.699,#00CCC0,"181,453"
4 014728.909,#E4ABFF,"1828,1931"
4 005338.026,#6A5CFF,"1906,1852"
4 005343.226,#009EAA,"256,1507"
